headline,short_description,authors,date
Super Majority Without The Super Power,Recognizing the power of the purse and the women who carry them should be a priority for companies if they are going to tap their respective market's full potential. Corporate America would be smart to follow the money.,"Shelley Bird, ContributorCo-chair, X Squared Angels; Founder, The Bindu Project; Foundi...",2014-11-11
Welcome to the Age of Context-Driven Sales and Marketing,,"Vala Afshar, ContributorChief Digital Evangelist, Salesforce",2014-11-09
These 10 Companies Pay Americans The Least,,,2014-11-08
Quit Taking It Personally With Your Job Search,"I find myself thinking ""it's about me"" when really whatever fill-in-the-blank scenario has nothing at all to do with me. Many jobseekers struggle in this area as well in ways that ultimately hold them back from moving forward, especially when it comes to reaching out to people.","Suzanne Grossman, ContributorJob and Career Coach for Women",2014-11-08
The Driving Force Behind the U.S. Oil Boom,Behind the stardom of the explorers and producers who have put themselves on the revolutionary shale map and absorb most of the risk--are the service providers who make up a highly lucrative market segment.,"James Stafford, ContributorEditor, Oilprice.com",2014-11-07
Is Job Hunting During the Holidays a Waste of Time?,"Because so many job seekers slack off during the end of the year, for the holidays or just because they have more to do in their personal lives, fewer job seekers go after every job. Which means less competition for most jobs.","Susan P. Joyce, ContributorOnline job search expert, Job-Hunt.org writer",2014-11-06
Subscribing to Success,"There are many examples of new subscription models upsetting the status quo. Spotify, with its membership-based streaming music service, flipped iTunes on its head and caused Apple to launch a radio service.","Jon Bird, ContributorGlobal MD for LabStore, Y&R's retail & shopper marketing agenc...",2014-11-06
The Missing Link: Moving Beyond First-Level Solutions to Women's Leadership,,"Rebecca Shambaugh, ContributorLeadership strategist; Founder, Women In Leadership and Learni...",2014-11-04
Curating Relationship Building to Accelerate Onboarding,,"George Bradt, ContributorChairman, PrimeGenesis",2014-11-03
Impossible Goals and My Quest to Lose 175 Pounds,"Some people think aiming to lose 175 pounds is insane. For me, it is the only way to get there. When I've set ""impossible"" goals in a business setting, I've always made them. I get excited and motivated. Small goals don't interest me at all.","Don McNay, ContributorBest selling lottery and structured settlement expert",2014-11-02
10 Big Ways The Government May Be Wasting Taxpayer Money,,,2014-11-02
10 States Slashing Education Spending,,,2014-11-01
Will This Be the China Century?,"China reported its economy grew ""only"" 7.3 percent in the third quarter, below the projected 7.5 percent. If China fails to meet its target for the year, it will be the first time since 1998. China's long-term growth prospects seem weaker still.","Jerry Jasinowski, ContributorFmr. President of the National Association of Manufacturers",2014-10-31
How the Recession Is Still Hurting Millennials,"Employment -- and the income that comes with it -- marks the ability to move from dependence to independence, and when there are fewer opportunities to make this leap, development is stunted.","Hilary Gowins, ContributorChicago-based journalist",2014-10-30
Mutual Selection Process,,"Jodi R. R. Smith, ContributorNot your grandmother's etiquette consultant",2014-10-30
iconic32 Launches in New York City With Common and Malik Yoba,"With the star power of rapper/actor Common and actor/entrepreneur Malik Yoba, iconic32's launch party demonstrated how simple it is to be a force for social good while also enjoying the privileges of being among the world's leading consumer classes.","Akoshia Yoba, ContributorCo-author, 'Please Return My Phone Call: Preventing the Demise...",2014-10-28
Business Etiquette: 10 Office Pet Peeves,"If you spend most of your week in an office environment, you probably know that working closely with colleagues can be a productive, rewarding experience. You also know that their quirks, bad habits, and thoughtlessness can slowly drive you insane.","Diane Gottsman, ContributorEtiquette expert and modern manners authority; Owner, The Prot...",2014-10-28
These Are The Most Googled Halloween Costumes In Each State,,Kevin Short,2014-10-27
States With The Widest Gap Between Rich And Poor,,,2014-10-26
The ECB Assessment of Eurozone Banks' Health Will Not Dissipate Fundamental Questions,"After months of waiting, we just received the results of the assessment of the health of Eurozone banks by their new supervisory authority: the European Central Bank. They were predictable, but the exercise has limitations.","Georges Ugeux, ContributorChairman and CEO, Galileo Global Advisors and Adjunct professo...",2014-10-26
The White Paper Is Not Dead,"White papers seem to be falling out of favor. Perhaps our preferred screens have become too small and our attention spans too short. Or maybe it's the perception that white papers are only for large, corporations selling complex technologies.","John Fox, ContributorFounder and President, Venture Marketing",2014-10-25
Amazon's Jeff Bezos Is Still The World's Best CEO By One Measure,,Alexander C. Kaufman,2014-10-25
10 Bizarre Ebola 'Products' People Are Actually Trying To Sell,"Yes, these items are actually being advertised for sale on the Internet.",Harry Bradford,2014-10-25
"Uber Riders In NYC Not At Risk Of Ebola, Uber Says",,Hunter Stuart,2014-10-24
Why Spain's Poor Fear Goldman Sachs,,,2014-10-24
Embracing 'Showrooming',"You can't fight the Internet and you can't bite the hand that feeds you. Instead, it's time to reinvent retail and embrace showrooming.","Jon Bird, ContributorGlobal MD for LabStore, Y&R's retail & shopper marketing agenc...",2014-10-23
Enough About Disruption: We're in the Golden Age of Communications,"Those not plunging into the brave new world on our doorstep risk being left behind because the disruptions that have gripped us so tightly will certainly keep coming. So, what does the new normal mean for traditional media?","Communications Week, ContributorCross-industry celebration of the public relations, communicat...",2014-10-23
Body Language Speaks Loud and Clear: Eight Tips To Getting It Right,"While I believe small talk is BIG, non-verbal communication is small-talk's best friend. As the saying goes: ""Actions speak louder than words."" And it's a saying that rings true.","Debra Fine, ContributorBestselling author, keynote speaker and trainer",2014-10-22
Learning About Effective Leadership by Rappelling Waterfalls,"In executive coaching, I have clients hurtling themselves toward a goal. They want to get ""there"" no matter what. Then there are the adrenaline junkies who enjoy the risk of chaos, taking pride in not needing methods and plans.","Laura Berger, Contributor""Psychology Today"" leadership expert helping overworked profes...",2014-10-22
Social Media Is Dead,"Actually, social media is slowly morphing into Digital Media -- an umbrella that covers Social, Mobile, Web, Games, and Apps.","Beverly Macy, ContributorAuthor, Educator, Speaker,",2014-10-21
One Way Chipotle Has Completely Revolutionized How We Eat,,Jillian Berman,2014-10-21
Marketing Evolution Is Failing In The C-Suite,"Marketing must evolve, and comfort must be left in the rearview. The way things have always been done isn't the way they should be done going forward. Unless you believe the consumer landscape hasn't changed in the past 5-10 years. Oh, and in case you aren't sure...It has.","Daniel Newman, ContributorAuthor ""Building Dragons: Digital Transformation in the Experi...",2014-10-21
The Two Types of Brands (and the Entrepreneurs Behind Them),"Recently, I was having a discussion with branding expert David Brier on the sometimes questionable state of brands today. He laughingly mentioned a client who recently asked, ""How did you know? You must have time traveled to know what we'd need.""","Steve Olenski, ContributorSeverely over-caffeinated writer who knows a thing or two abou...",2014-10-21
A Business Model for Marijuana,ith 23 states plus the District of Columbia enacting marijuana programs we are now steam rolling. And what is going to take place next is the final step and watershed moment for the industry.,"Adam Bierman, ContributorManaging Partner of MedMen, the premier consulting and managem...",2014-10-20
Time Warner Cable's Advertised $89.99 Triple Play: Now $190.77. What the F@$#X$!?,"You can never, ever get the advertised price because it doesn't include many of the fixed costs, like the set top box, not to mention it is littered with pass-throughs of the company's taxes and fees, including the cable franchise fees.","Bruce Kushnick, ContributorExecutive Director, New Networks Institute",2014-10-19
"Women in Business: Heather Andrus, Senior Vice President of Product Development for Euro-Pro","Heather Andrus is the Senior Vice President of Product Development for Euro-Pro, since her appointment in September of 2013. On a daily basis she strives to create compelling products for consumers by understanding the world that they live in, as well as their needs, motivations and desires.","Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2014-10-18
Here's The Job That's Most Unique To Each State,,Harry Bradford,2014-10-17
How to Complain to the Boss,"A short, concise email is always more effective than a lengthy missive. Plus you're more likely to get issues addressed when you raise them individually rather than a laundry list of everything you want to see changed.","Jeffrey Sharlach, ContributorFaculty NYU Stern Management Communication Program and Chairma...",2014-10-16
Millennials & The Music Business: Inverting the Hierarchy,,"Keith Clinkscales, ContributorChief Executive Officer, REVOLT",2014-10-16
All for What? Evaluate Your Life Day,"Mark your calendars. October 19th is National Evaluate Your Life Day. Didn't know there was such a thing? Me neither, until a colleague forwarded a list of off-beat holidays you can celebrate in October.","Teresa Hopke, ContributorPrincipal, Life Meets Work",2014-10-16
Where Will Chinese Investors Go?: U.S. Policy May Force Many To Go To Australia And Britain,It will be interesting to see whether the USA changes its policy on quotas because of a falloff in investment by these wealthy Chinese nationals -- and whether other nations try to take advantage of this falloff by changing their policies.,"Martin Zabell, ContributorLongtime writer for major newspapers and businesses",2014-10-15
How the Sharing Economy Is Changing Your Halloween Costume Search,The emergence of the online sharing economy is giving people still another costume option that a few years ago wasn't available.,"John Rampton, ContributorEntrepreneur, online marketing guru and startup addict",2014-10-15
"Your Tax Refund -- Fastest, Biggest, and Easiest? Not So Much!",Let's look at the most prevalent (often least true) claims and go over some ways that you can make them more truth than fiction.,"Mark Steber, ContributorChief Tax Officer, Jackson Hewitt Tax Service Inc.",2014-10-15
The Hottest Snack In America Right Now Is Gourmet Dehydrated Meat,,Jillian Berman,2014-10-14
The Deficit Is Down and the Deficit Hawks Are Furious,"Not only is the deficit down sharply from its levels of 2009 and 2010, when it was near 10 percent of GDP, it is below the levels that even the deficit hawks had targeted back in those years. In other words, even if we had followed the lead of deficit crusaders like Erskine Bowles and Alan Simpson, the deficit would be no lower today.","딘 베이커, ContributorCo-director, CEPR; author, ""Rigged: How Globalization and the ...",2014-10-14
Want to Be More Memorable? Create Your Own Personal Connection Story,,"John Corcoran, ContributorSmall business attorney and creator of SmartBusinessRevolution...",2014-10-13
Failed Job Interview? Blame It On Your Reptile Brain,"Whether you're attempting to land your dream job or forge great relationships with colleagues or customers, feeling at home inside your own self matters most. And what matters most to others is knowing they can trust that you are who you say you are.","David Hassell, ContributorCEO, 15Five",2014-10-13
The 10 States With The Worst Quality Of Life,,,2014-10-12
"Women in Business: Carol Snell, Board of Directors at Push Technology",,"Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2014-10-11
Tesla Unveils The D At Event In LA,,Alexander C. Kaufman,2014-10-10
Why Tesla Didn't Release A Fully Driverless Car,,Alexander C. Kaufman,2014-10-10
10 Reasons To Work With A Broker During Your Next Office Search,"Just like attorneys and medical professionals, commercial brokers have specialized knowledge that can prove invaluable during an office search.","Frank Chalupa, ContributorPresident & Co-Founder, Amata Office Solutions",2014-10-09
This Is What It's Like To Work For One Of America's Most Iconic Brands For 24 Years,,"Co-hosts of 'Made Right Here', ContributorJoe Gannon and Max Wastler",2014-10-08
80 Percent Of Female Restaurant Workers Say They've Been Harassed By Customers,,Jillian Berman,2014-10-08
5 Easy Steps to Becoming a Woman of Action,,"Maria Rodale, ContributorCEO and Chairman of Rodale, Inc. and book author",2014-10-08
Why Shaking Hands Is Still Better Than Fist-Bumping,"I have asked a handful (pun intended) of adults why they fist-bump and most of the time the response is something along the lines of: Well, it seems to be the trend. AHA! This is not a good reason to forgo the time-honored handshake!","Debra Fine, ContributorBestselling author, keynote speaker and trainer",2014-10-07
America's Underground Chinese Restaurant Workers,,,2014-10-07
Consciously Designing Your Ideal Business,"Once you've consciously envisioned the life you desire, it's time to consciously design your ideal business. From my perspective, this begins by defining the powerful difference you are passionate to make through your life and business.","J V Crum III, ContributorBusiness coach who holds an MBA, JD and a MS in Psychology; hi...",2014-10-06
Conventional Versus FHA: Which Should You Choose?,"Don't jump to the conclusion that the better choice is the mortgage with the lower interest rate. FHAs carry a lower interest rate but largely because of their high insurance premiums, they usually (but not always) cost the borrower more.","Jack M. Guttentag, ContributorProfessor of Finance Emeritus at the Wharton School of the Uni...",2014-10-05
"Six Years Later, We're Still Litigating the Bailouts. Here's What We Know.",,,2014-10-05
6 Customer Experience Lessons From a Digital Business Pioneer,"Functioning as the Publisher and Vice President of Content at Kraft Sports Productions, including the New England Patriots, Fred Kirsch is truly a technology innovator and someone who is focused on digital business transformation.","Vala Afshar, ContributorChief Digital Evangelist, Salesforce",2014-10-04
How to Make Daily Progress in Your Business,"Progress is important to growing your business, and you must take daily action in order to make progress. The key is pacing yourself. Get a clear vision of where you want to go and then determine what you can do daily to get you closer to your goals.","Stacia Pierce, ContributorLife coach, career expert and CEO, Ultimate Lifestyle Enterprises",2014-10-03
"It Takes Guts to Share Authentically, But When You Do, You Change Lives","Any successful thought leader will tell you sharing useful and interesting information can be powerful in building a positive reputation and solid credibility. But sometimes just sharing information is not enough and like the old marketing adage says, ""You should show not tell.""","Catriona Pollard	, ContributorDirector of Australian PR and social media agency, CP Communic...",2014-10-03
"The ""Right to Request"" Flexibility","One fear that some managers have in granting the request is that if they give it to one employee, they will have to give it to everyone.  Because of that fear, what may occur is the original flexibility request goes under the radar and is a negotiated ""deal"" between that employee and their manager.","Rose Stanley, ContributorSenior Practice Leader, WorldatWork",2014-10-02
5 Types of Web Content for Driving Extra Traffic,"Trying out something new shouldn't be feared -- don't do it if it doesn't feel right, but perhaps you're going to surprise yourself by realizing that there are different types of people who consume different types of content.","Alex Ivanovs, ContributorWriter",2014-10-02
Why We Won't Have An Ebola Cure Or Vaccine For Years,,Jeffrey Young,2014-10-02
Marketing Titans: Annemarie Frank and Consumer Engagement,,"Joseph Parker, ContributorAuthor and Digital Marketing Professional",2014-10-01
What Happened When We Went A Week Without An Inbox,The email ban included not only emails amongst ourselves but also with clients. We set up auto-responders to let people know we weren't checking email and encouraged them to call us instead.,"Kyra Cavanaugh, ContributorPresident, Life Meets Work",2014-10-01
Pepsi Launches 60-Calorie Soda With Controversial Ingredient,,Alexander C. Kaufman,2014-10-01
Is No One Legally Liable for a Defectively Installed Handicap  Accessible Shower Bench?,,"Brad Reid, ContributorSenior Scholar, Dean Institute for Corporate Governance and In...",2014-09-30
The 80/20 View of Anger,"Anger, like pain, can be instructive.  But, like pain, you can have too much of a bad thing.  Only a small proportion of anger is useful.  When it comes to anger, most of us really are our own worst enemies.","Richard Koch, ContributorAuthor, 'The 80/20 Principle'",2014-09-30
Germany To Consider Ban On Late-Night Work Emails,,Alexander C. Kaufman,2014-09-29
Hedge Funds Are Richer Than Ever,,Kevin Short,2014-09-28
Can a Nonprofit Find Strategic Ways to Grow in Difficult Times?,"Nonprofits have always had to struggle to meet their client needs, even when economic conditions and social turmoil were much less constraining than today. How can mid-level nonprofits uncover growth opportunities in the present environment?","Eugene Fram, ContributorProfessor Emeritus, Saunders College of Business, Rochester In...",2014-09-27
"Women in Business: Q&A with Donna Josephson Chief Marketing Officer, McAlister's Deli",,"Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2014-09-26
Here's What A Billionaire's Social Calendar Looks Like,,Alexander C. Kaufman,2014-09-26
LEGO's Girl Problem Starts With Management,"This summer, LEGO launched a minor revolution. It introduced professional women -- scientists, no less -- into its latest toy line aimed at girls. The new figurines -- called ""minifigs"" by Lego die-hards -- feature a female palaeontologist, an astronomer, and a chemist. They sold out on the first day.","Avivah Wittenberg-Cox, ContributorAvivah Wittenberg-Cox is CEO of 20-first, one of the world's l...",2014-09-25
Killing the Moment -- It's Time to Do Your Events Differently,My daughter called this afternoon after class and on her way to work at the library to tell me about how here teacher decided to dress down the class after they had all done small teaching sessions at a summer camp.,"Jacqueline Wolven, ContributorWriting, speaking and coaching on Living Simply & Working Smar...",2014-09-24
Hospitals In States That Won't Expand Medicaid Left With More Unpaid Bills,,Jeffrey Young,2014-09-24
Ask Your Employees These 4 Simple Questions to Elicit Productive Feedback,"As an entrepreneur or executive, you often get caught up in the ""bigger picture"" and the intricacies of your leadership role. But by doing so, it is possible to become disconnected from your impact on employees, customers and suppliers.","Susan Steinbrecher, ContributorLeadership Author, Speaker and CEO, Steinbrecher And Associate...",2014-09-23
"(VIDEO) WPP Ups Investment in AppNexus as ""The only alternative to align with Facebook or Google,"" Martin Sorrell",,"Andy Plesser, Contributor",2014-09-22
4 Tips for Female Executives As They Climb the Corporate Ladder,"Women frequently do not have the same level of support or development opportunities that men enjoy -- because they lack peers and mentors. Here are some tips I share with the female executives I coach, as they climb the corporate ladder.","Mike Harden, ContributorCEO, Clarity Group",2014-09-22
Why Ordinary People Bear Economic Risks and Donald Trump Doesn't,"In America, people with lots of money can easily avoid the consequences of bad bets and big losses by cashing out at the first sign of trouble. But workers who move to a place like Atlantic City for a job and invest in a home have no such protection.","Robert Reich, ContributorChancellor's Professor of Public Policy, University of Califor...",2014-09-21
"This Man Got A Surprise $117,000 Medical Bill From Doctor He Didn't Know",,,2014-09-21
"Women in Business: Q&A with Venus Hurst, Founder of Doll Face Brand","Venus Hurst is no stranger to entrepreneurship. In 2001, she created Venus Staffing, an agency specializing in promotional and event model staffing. More recently, Hurst has focused on her latest endeavor.","Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2014-09-20
A Guide to Getting the Most of Going to Conferences,Don't leave it up to memory. Take a moment to reflect on the goals you made for the conference and decide if it is something that you want to repeat next year. If you really didn't get something awesome from it maybe your time and money would be better spent in another way.,"Jacqueline Wolven, ContributorWriting, speaking and coaching on Living Simply & Working Smar...",2014-09-20
Talk to the Shield!,"Leave your shield (and sword) at the office when attending events and you'll absolutely generate more prospects, more referrals, and more business. That is, if you're into that sort of thing.","Michael Goldberg, ContributorAuthor, speaker, sales consultant, boxer",2014-09-19
"Bloomberg: Detroit Is Just Like 1970s New York, And That's A Good Thing",,Kate Abbey-Lambertz,2014-09-18
One Formula to Lead and Live Better: 75+/25-,"We've all heard about the ""power of positive thinking,"" but flick on the news, and you'll see the world seems to prefer tuning in to the negative most of the time.  Where's the good stuff? The answer: It's everywhere.  It's free of charge, too.","David Peck, ContributorPrincipal & Senior Executive Coach at Goodstone Group, author,...",2014-09-18
"How Crazy Rich You'd Be If You'd Invested in Chipotle, Starbucks And More","As an exercise in regret and jealousy, we've dug through thousands of feet of stock ticker tape (i.e. Yahoo and Google Finance) and picked out six food-based stocks that would've been very wise investments.","Thrillist, ContributorEverything worth caring about in food, drink, and travel",2014-09-17
The Real Secret of Successful Investors,"Much of what counts these days as ""financial news"" is simply a parade of self-styled ""pros"" peering into their crystal balls and telling the rest of us how to time the market, pick outperforming stocks or select ""hot"" mutual fund managers.","Dan Solin, ContributorAuthor of the Smartest series of books",2014-09-16
"Market Manipulators Are Back in Season for the Fed ""Septaper"" Sequel: ""Septighten""","The summer is coming to an end without much success at the movie box office, but one ""sequel"" has emerged a winner this week although its ultimate fate awaits further developments.","Terry Connelly, ContributorDean Emeritus, Ageno School of Business - Golden Gate University",2014-09-16
"10 Quotes Every Entrepreneur Needs to ""Get"" to Succeed","Why was a 22-year-old CEO so quick to disregard a billion dollar offer? To me, Zuckerberg's brash action makes no sense. But Peter Theil argues that, for an entrepreneur like Zuckerberg, it makes perfect sense.","Alex Banayan, ContributorAuthor and Venture Capitalist",2014-09-15
"Ditch the Talking Points, Make Listening Points","You've been to this meeting. You and a bunch of peers are gathered to do some planning or training. Over lunch, a senior leader of the organization has been asked to come spend time with the gang. It's a great opportunity for both the leadership group and this senior leader to have exposure to each other.","Ted Harro, ContributorFounder, Noonday Ventures",2014-09-15
Improvise - Great Leaders Say Yes First,"When leaders exhibit improvisational behaviors (such as flexibility, positivity and humor) people connect with them. Leaders build trust with their teams when they are positive, and those teams in turn, engage and want to perform.","Karen Hough, ContributorCEO of ImprovEdge",2014-09-15
JPMorgan Hackers Didn't Steal Any Money: Report,,,2014-09-13
Major CVS Health Lawsuit Moves Ahead,,,2014-09-13
CAABS Drive Workplace Bullying,Everyone has a responsibility to collectively work together to prevent workplace bullying to ensure that bullies don't win and targets don't unnecessarily have to deal with abuse or suffer alone.,"S. L. Young, ContributorAuthor, blogger, project/program leader, professor, social ent...",2014-09-12
5 Ways to Optimize Your Video Content and YouTube Channel,"If you've been hard-at-work creating content, then you're probably aware at how powerful of video has become. If you weren't up-to-date on the popularity and influence that video content has, here are some mind-blowing stats courtesy of Digital Sherpa.","John Rampton, ContributorEntrepreneur, online marketing guru and startup addict",2014-09-12
Smart Entrepreneurs Plan Ahead For A Startup Exit,,"Marty Zwilling, ContributorVeteran Start-up Mentor; Executive",2014-09-11
Employee Health Insurance Costs Barely Increased This Year,,Jeffrey Young,2014-09-10
Everyone With A Desk Job Should Have Plants,"I am happiest -- and, I've found, I do my best writing -- when surrounded by greenery. As I type this now, my desk is fringed with a little Peruvian apple cactus, a spider plant, a milk cactus and a big, hardy jade plant.","Alexander C. Kaufman, ContributorSenior Business Editor, The Huffington Post",2014-09-10
Brand x Artist: The Miranda July and Miu Miu Collaboration,"A recent collaboration between fashion house, Miu Miu, and artist, Miranda July was the perfect embodiment of how to execute a spectacular artist/brand partnership and why it's important to do so.","Naz Riahi, ContributorFounder and Marketer in Chief at Run River",2014-09-10
BANKRUPT,,,2014-09-09
How to Be Less Manic and More Productive: An Effective Executive's Surprising Workday Routine,"Changes don't have to be drastic to be effective. So rather than flipping your entire work schedule upside down, it's easier to start small; block off 60 minutes at the start of your peak work times for whatever your day's priority might happen to be, and start there.","Danny Iny, ContributorFounder of Mirasee (formerly Firepole Marketing), author of ""T...",2014-09-09
5 Tested Ways to Be Happier and More Successful at Work,"Studies are finding happier employees are more creative, more engaged, more productive and more likely to be promoted. They're also less likely to experience symptoms of fatigue.","Michelle McQuaid, Contributorbest-selling author, workplace wellbeing teacher and playful c...",2014-09-08
Big Isn't Always Better,"Expansion is an important element for a startup. The question is, when? All too often, in my experience, the desire to expand begins to rear its head well in advance of traction and readiness.","Hans Hickler, ContributorFounder and CEO, Ellipsis Advisors, LLC",2014-09-07
Chiquita's Tax Inversion Deal Could Be In Trouble,,Alexander C. Kaufman,2014-09-07
Rank Does Not Confer Privilege or Give Power; It Imposes Responsibility,"Significant change is not easy, however the possibilities of taking small steps with a sense of urgency and a planned orchestrated approach can mean the difference between executing on successful change and creating an utter failure.","Avril Brikkels, ContributorOwner and Director of Brikkels & Co., Business and Leaders...",2014-09-05
Hundreds Arrested As Fast-Food Workers Strike Across The Country,,Dave Jamieson and Jillian Berman,2014-09-04
Paving the Way for Africa's High-Tech Agricultural Revolution,"Africa has the potential not only to feed its own people, but also to ensure food security around the world. A new era is unfolding in Africa's agricultural sector. Driving this change is innovation, led by Africans themselves.","Jean-Claude Bastos de Morais, ContributorEntrepreneur, private investor and philanthropist; founder, Af...",2014-09-02
"Actually, Burger King Has Been Trying To Dodge Taxes For Years",,,2014-09-02
"Women in Business: Q&A With Victoria Livschitz, Founder of Qubell","""If you have family, make sure it is 100% behind you. Be prepared for a tremendous pressure, stress and financial risks associated with entrepreneurship and take the steps to assure you and your family is ready to deal with them.""","Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2014-09-01
Which Corporate Personality Are You: Market Basket or Hobby Lobby?,Will your company be one that recognizes a diversity of stakeholders to whom some responsibility is owed? Or one whose shareholders can impose their will on employees and others affected no matter what?,"David M. Abromowitz, ContributorChief Public Policy Officer YouthBuild USA",2014-09-01
10 Best-Paying Jobs for High School Graduates,,,2014-08-31
"Who is an Employee, Joint Employee, or Independent Contractor?",Labor Day encourages a review of the legal status of labor. Worker status is important because numerous statutes such as minimum wage and overtime requirements apply to employees but not to independent contractors.,"Brad Reid, ContributorSenior Scholar, Dean Institute for Corporate Governance and In...",2014-08-31
Labor Day and Why America (Still) Works,Labor Day isn't the most celebrated of holidays on our calendar. It was birthed out of a movement to honor and respect the hardworking Americans who laid the foundation of our nation in the late 19th Century.,"Joe Boyd, ContributorFounder, Rebel Pilgrim Creative Agency",2014-08-30
How Corporations Blackmail States Out Of Billions In Taxpayers Dollars,,,2014-08-30
REPORT: Russian Hackers Looted Big Bank Data,,,2014-08-28
What Is Your Family Mission?,"The starting point for this is often posing the question ""what is your family mission?"" And I would challenge all families to think in this way and ask themselves the same question.","Pioneers for Change, ContributorA worldwide network of talented individuals and global citizen...",2014-08-28
"Taco Bell, Where A 'Lifetime Of Food' Costs Just $10,000",,,2014-08-27
FBI Investigating Whether Russia Responsible For Massive JPMorgan Cyber-Attack,,,2014-08-27
The 10 Best Marketing Tweets I've Ever Seen,"While a brand used to have to spend zillions of dollars to get its ad on TV or its logo on a billboard, now social media like Twitter make it possible to reach millions of people quickly, without spending millions of dollars.","Melanie Curtin, ContributorWriter/speaker on sex & dating and eCommerce. Creator of viral...",2014-08-27
Conquer 4 Problem Areas to Prove Marketing ROI,,"Joseph Parker, ContributorAuthor and Digital Marketing Professional",2014-08-26
What Your Business Degree Won't Teach You,"The ability to sell proves your attitude, critical thinking and soft-skills.  Every other business discipline is just semantics.  You have no marketers, accountants, lawyers, managers or HR people on staff if you have no sales.  Businesses put a premium on people that can generate revenue.","Sajeel Qureshi, ContributorVice President of Operations, Computan",2014-08-26
Three Ways to Help Your Startup Grow and Flourish,"Congratulations! You've discovered a valuable solution, developed a mission with purpose, implemented a business plan, and now you are running a successful startup.","Julia Neumer, ContributorSenior Director of Graphic Design for Consero Group LLC",2014-08-25
This Is What The Future Of Fast Food Looks Like,,Jillian Berman,2014-08-25
Tesla Owners' Full-Page Newspaper Ad Gets Elon Musk's Attention,,Alexander C. Kaufman,2014-08-24
Stay on That Nonprofit Board!,Nonprofit directors often become impatient with the slow pace of progress toward positive change. Here are some actions that may change the situation.,"Eugene Fram, ContributorProfessor Emeritus, Saunders College of Business, Rochester In...",2014-08-24
States With The Most Big Spenders,,,2014-08-23
Why Underwater Homeowners Won't Be Saved By Bank Of America's $17 Billion Deal,,Ben Hallman,2014-08-22
How to Prepare for a Brainstorming Session,"The few days before a brainstorm session begins -- the ""incubation time"" -- is often the difference between brilliance and boredom. Unfortunately, most companies don't get this.","Mitch Ditkoff, ContributorPresident, Idea Champions",2014-08-21
Being of Service: Why Meaning and Mission Matter in Business,"Value is what attracts and retains customers and employees. It's also what attracts and maintains relationships with investors, suppliers, distributors and other stakeholders who are critical to the firm's success over time. A business that does not create value will eventually fail.","Gideon Rosenblatt, ContributorWriter, the Vital Edge",2014-08-20
It's Not Just About the Bagels: Building Employee Engagement (Pt. 3) The Employee in Employee Engagement,"The very phrase ""employee engagement"" is nothing without the employee. We are all employees, and at times it's easier to blame the employer for our woes without taking a look in the mirror. I've worked with many employees who thought the grass was greener elsewhere.","Charles J. Alaimo, ContributorSenior Vice President of Human Resources, Aceto Corporation",2014-08-20
Are Life and Business Difficult?,"I will argue that life is difficult, even if you accept fully that it is difficult.  It is difficult not because it is difficult -- though it often is -- but because we humans have a genius for making it difficult.  And we have that genius because we are lost, strangers in a strange world.","Richard Koch, ContributorAuthor, 'The 80/20 Principle'",2014-08-19
Cultural Fit: 5 Reasons Why I Shouldn't Work at Buffer,"The purpose of this article is not to criticize Buffer, their team or their culture because it works for them and they are doing very well. The lesson to be learnt here is you need to really think about where you apply as a cultural fit.","Imriel Morgan, ContributorStartup Enthusiast, Blogger and Content Expert",2014-08-19
America's Top Young Adult Workforces: A Rust Belt Rebirth?,"I know, people tend to take the current state of a region and erroneously think it's been that way forever, or that it will stay that way forever. But the vitality of urban areas are fluid -- prone to decline and rebirth, just like everything else.","Richey Piiparinen, ContributorDirector, The Center for Population Dynamics at Cleveland Stat...",2014-08-18
"Women in Business Q&A: Shelly Fisher, President and CEO, Hope Paige Medical ID Marketplace",,"Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2014-08-18
Ugg Is Sick Of Being Pigeonholed For Its Boots,,Kim Bhasin,2014-08-16
Big News For Shake Shack,,,2014-08-15
Reputation Recovery and Management,"Leading a ""perfect"" life -- very low-profile, never breaking any laws, never participating in any form of social media, never doing anything that might draw negative attention -- does not ensure a clean personal reputation in 2014 or beyond, unfortunately.","Susan P. Joyce, ContributorOnline job search expert, Job-Hunt.org writer",2014-08-14
Build Rapport With the Right People (Almost) Automatically,"One of our keynote speakers made the point that it's our authentic, human side -- the side we try to keep hidden from the world much of the time -- that makes all the difference to people.","Alex Charfen, ContributorCo-founder and CEO of CHARFEN, How Entrepreneurs Think™",2014-08-14
Organizational Excellence Is About Being Perfect Together,"When organizations work well, they allow ordinary people to do extraordinary things. That's because they can be powerful vehicles for combining our strengths in a way that makes the whole far greater than the sum of the parts.","Great Work Cultures, ContributorBringing together individuals, organizations, and networks to ...",2014-08-14
Success Isn't for You,"Having come to a place in my career now that could be considered success, I've realized that success isn't for me. Now, before you write me off, let me explain.","Chris Deaver, Contributor",2014-08-14
